epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71459,3.22116,3.64416,2.63286,0.00458,0.91667,0.02285,0.00346,3.15705,4.02396,2.38158,2e-05,2e-05,2e-05
2,17.5946,3.27773,3.82263,2.63855,0.00417,0.83333,0.03415,0.00517,3.33869,4.13505,2.44744,5.92575e-05,5.92575e-05,5.92575e-05
3,25.2608,2.98644,3.53743,2.27741,0.00375,0.75,0.11379,0.0181,3.16283,4.26285,2.3384,9.7525e-05,9.7525e-05,9.7525e-05
4,33.0922,2.52706,3.09466,1.9266,0.00375,0.75,0.15721,0.02512,3.18846,4.36832,2.33378,0.000134803,0.000134803,0.000134803
5,40.9243,2.07735,2.74742,1.67053,0.00333,0.66667,0.18416,0.04484,3.14862,4.12365,2.32359,0.00017109,0.00017109,0.00017109
6,48.8637,2.10884,2.44377,1.57473,0.00333,0.66667,0.19843,0.07695,2.52634,3.5271,1.87016,0.000206388,0.000206388,0.000206388
7,56.4718,1.7838,2.20413,1.39842,0.005,1,0.26511,0.09375,2.0861,3.15994,1.40418,0.000240695,0.000240695,0.000240695
8,64.1724,1.54169,1.9337,1.24355,0.005,1,0.40392,0.14112,1.81148,2.9933,1.27937,0.000274012,0.000274012,0.000274012
9,71.7858,1.32676,1.90967,1.17989,0.005,1,0.46988,0.18577,1.57645,2.8968,1.16744,0.00030634,0.00030634,0.00030634
10,79.601,1.34164,1.89505,1.16907,0.005,1,0.76952,0.35064,1.46851,2.77309,1.09084,0.000337677,0.000337677,0.000337677
11,87.2805,1.43286,1.79849,1.15308,0.005,1,0.76873,0.35431,1.49793,2.71388,1.10214,0.000368025,0.000368025,0.000368025
12,94.995,1.37162,1.79386,1.17509,0.005,1,0.9205,0.33916,1.70137,2.71259,1.17793,0.000397383,0.000397383,0.000397383
13,103.584,1.3313,1.57592,1.15243,0.45897,1,0.9694,0.46594,1.55413,2.5775,1.19901,0.00042575,0.00042575,0.00042575
14,111.271,1.25748,1.57508,1.03992,1,0.49691,0.91578,0.51493,1.28431,2.41805,1.19892,0.000453128,0.000453128,0.000453128
15,119.018,1.17079,1.49125,1.05864,0.70773,0.80846,0.81649,0.46181,1.41676,2.41835,1.29509,0.000479515,0.000479515,0.000479515
16,127.149,1.24834,1.48034,1.11225,0.35587,1,0.92257,0.46517,1.62768,2.49074,1.45391,0.000504913,0.000504913,0.000504913
17,136.041,1.2142,1.42508,1.10593,1,0.2263,0.975,0.44337,1.5066,2.5378,1.40819,0.00052932,0.00052932,0.00052932
18,143.725,1.27955,1.37701,1.11573,0.68645,0.16667,0.93115,0.51073,1.17466,2.4465,1.21658,0.000552738,0.000552738,0.000552738
19,151.306,1.14371,1.46415,1.09363,0.01815,1,0.96669,0.55666,1.2047,2.45857,1.14774,0.000575165,0.000575165,0.000575165
20,158.866,1.19758,1.36498,1.12081,0.44432,1,0.87592,0.48696,1.20402,2.4682,1.20502,0.000596603,0.000596603,0.000596603
21,166.559,1.15504,1.30813,1.07244,0.59705,0.83333,0.89569,0.522,1.2049,2.40699,1.25621,0.00061705,0.00061705,0.00061705
22,174.235,1.26465,1.29905,1.06004,0.79984,0.66667,0.81759,0.49543,1.36898,2.31347,1.28084,0.000636507,0.000636507,0.000636507
23,181.618,1.07751,1.26567,1.06189,0.8937,0.70273,0.91242,0.62787,1.19232,2.24388,1.15288,0.000654975,0.000654975,0.000654975
24,189.08,1.0884,1.25483,1.02272,0.85832,0.50547,0.93647,0.63644,1.20061,2.31228,1.1248,0.000672452,0.000672452,0.000672452
25,196.708,1.31031,1.36739,1.06778,0.74664,0.41667,0.80946,0.542,1.20846,2.42856,1.09986,0.00068894,0.00068894,0.00068894
26,204.218,1.17332,1.39,1.13957,1,0.57241,0.96167,0.60507,1.23092,2.34841,1.10051,0.000704437,0.000704437,0.000704437
27,211.574,1.15553,1.29699,1.06563,0.90953,0.83818,0.98269,0.66776,1.26745,2.05156,1.08397,0.000718945,0.000718945,0.000718945
28,219.078,1.09623,1.25658,1.00769,0.90953,0.83818,0.98269,0.66776,1.26745,2.05156,1.08397,0.000732463,0.000732463,0.000732463
29,226.538,1.20857,1.25717,1.01967,0.98019,0.83333,0.9769,0.70036,1.21962,1.95915,1.07885,0.00074499,0.00074499,0.00074499
30,233.991,1.16875,1.16733,1.04762,1,0.80846,0.98269,0.59138,1.45937,1.9761,1.10848,0.000756527,0.000756527,0.000756527
31,241.322,1.04346,1.19109,1.03093,1,0.80846,0.98269,0.59138,1.45937,1.9761,1.10848,0.000767075,0.000767075,0.000767075
32,248.709,1.09531,1.26996,1.05206,0.73787,0.75,0.90729,0.51628,1.42801,2.06869,1.09082,0.000776633,0.000776633,0.000776633
33,256.069,1.16804,1.17839,1.05366,0.64512,0.75,0.83297,0.46453,1.33041,2.07428,1.1112,0.0007852,0.0007852,0.0007852
34,263.543,1.12755,1.18926,1.03268,0.64512,0.75,0.83297,0.46453,1.33041,2.07428,1.1112,0.000792777,0.000792777,0.000792777
35,270.9,0.99732,1.15051,1.0163,0.63478,0.91667,0.81916,0.47178,1.00265,1.9886,0.98322,0.000799365,0.000799365,0.000799365
36,278.288,1.09338,1.17066,1.01729,0.68272,0.75,0.83575,0.53948,0.89486,1.8392,0.94315,0.000804962,0.000804962,0.000804962
37,285.847,0.91322,1.10615,1.01773,0.68272,0.75,0.83575,0.53948,0.89486,1.8392,0.94315,0.00080957,0.00080957,0.00080957
38,293.392,0.91186,1.02693,1.02247,0.73341,0.83333,0.90923,0.58721,0.87379,1.84543,1.01344,0.000813187,0.000813187,0.000813187
39,300.956,0.98867,1.14069,0.97747,0.74752,0.83333,0.89502,0.57028,0.95928,1.68222,0.99676,0.000815815,0.000815815,0.000815815
40,308.295,0.9501,1.12422,0.98314,0.74752,0.83333,0.89502,0.57028,0.95928,1.68222,0.99676,0.000817452,0.000817452,0.000817452
41,315.685,0.88506,1.04366,0.98436,0.84968,0.94344,0.98357,0.57664,0.91728,1.65792,0.94742,0.0008181,0.0008181,0.0008181
42,323.063,0.84581,0.97194,0.9895,0.98667,1,0.995,0.66984,0.84898,1.49219,0.85145,0.000817758,0.000817758,0.000817758
43,330.83,0.98357,1.21436,1.04442,0.98667,1,0.995,0.66984,0.84898,1.49219,0.85145,0.000816425,0.000816425,0.000816425
44,338.783,0.9515,1.05197,0.99002,0.99207,1,0.995,0.73891,0.81391,1.17209,0.84049,0.000814102,0.000814102,0.000814102
45,346.591,0.88581,1.01152,0.9815,0.99207,1,0.995,0.73891,0.81391,1.17209,0.84049,0.00081079,0.00081079,0.00081079
46,354.165,0.95609,1.0458,0.99611,0.99257,1,0.995,0.81077,0.77754,1.10226,0.83117,0.000806487,0.000806487,0.000806487
47,362.191,0.99163,1.06837,0.98555,0.99257,1,0.995,0.81077,0.77754,1.10226,0.83117,0.000801195,0.000801195,0.000801195
48,370.066,0.99111,1.0578,1.01554,0.99616,1,0.995,0.71947,0.92591,1.08016,0.84122,0.000794913,0.000794913,0.000794913
49,377.851,0.86423,1.01306,0.95164,0.99616,1,0.995,0.71947,0.92591,1.08016,0.84122,0.00078764,0.00078764,0.00078764
50,385.333,0.93724,1.07973,0.98917,0.99392,1,0.995,0.7665,0.84655,0.96043,0.84118,0.000779377,0.000779377,0.000779377
51,392.627,0.93081,1.06342,1.01017,0.99392,1,0.995,0.7665,0.84655,0.96043,0.84118,0.0007625,0.0007625,0.0007625
52,400.064,0.93539,0.9384,0.98166,0.99285,1,0.995,0.78328,0.76798,0.91752,0.83371,0.00073775,0.00073775,0.00073775
53,407.431,0.92658,0.96653,1.01737,0.99285,1,0.995,0.78328,0.76798,0.91752,0.83371,0.000713,0.000713,0.000713
54,414.802,0.82002,0.91626,0.97603,0.91813,1,0.93115,0.67654,0.81656,1.0083,0.8503,0.00068825,0.00068825,0.00068825
55,422.297,0.78549,0.93717,0.95873,0.91813,1,0.93115,0.67654,0.81656,1.0083,0.8503,0.0006635,0.0006635,0.0006635
56,429.831,0.7872,0.91873,0.93609,0.91883,1,0.93115,0.7382,0.77957,1.01839,0.86596,0.00063875,0.00063875,0.00063875
57,437.404,0.9459,0.97661,0.96989,0.91883,1,0.93115,0.7382,0.77957,1.01839,0.86596,0.000614,0.000614,0.000614
58,445.119,0.84761,0.84828,0.94905,0.99502,1,0.995,0.73662,0.77754,1.0566,0.83622,0.00058925,0.00058925,0.00058925
59,452.451,0.77772,0.87034,0.91911,0.99502,1,0.995,0.73662,0.77754,1.0566,0.83622,0.0005645,0.0005645,0.0005645
60,459.91,0.83484,0.84419,0.93172,0.99452,1,0.995,0.81694,0.74172,0.82093,0.8044,0.00053975,0.00053975,0.00053975
61,467.277,0.79424,0.86534,0.94534,0.99452,1,0.995,0.81694,0.74172,0.82093,0.8044,0.000515,0.000515,0.000515
62,474.73,0.86253,0.99255,0.98067,0.99527,1,0.995,0.87224,0.6252,0.74163,0.79534,0.00049025,0.00049025,0.00049025
63,482.017,0.78692,0.91449,0.96003,0.99527,1,0.995,0.87224,0.6252,0.74163,0.79534,0.0004655,0.0004655,0.0004655
64,489.45,0.78861,0.86944,0.93851,0.99578,1,0.995,0.8839,0.57352,0.7104,0.78123,0.00044075,0.00044075,0.00044075
65,496.725,0.84776,0.81472,0.91912,0.99578,1,0.995,0.8839,0.57352,0.7104,0.78123,0.000416,0.000416,0.000416
66,504.086,0.72122,0.80238,0.93422,0.99572,1,0.995,0.87473,0.53766,0.68883,0.77769,0.00039125,0.00039125,0.00039125
67,511.298,0.87889,0.90122,0.99362,0.99572,1,0.995,0.87473,0.53766,0.68883,0.77769,0.0003665,0.0003665,0.0003665
68,518.834,0.76119,0.82925,0.95662,0.99559,1,0.995,0.88052,0.50338,0.69422,0.78186,0.00034175,0.00034175,0.00034175
69,526.086,0.76369,0.84212,0.90564,0.99559,1,0.995,0.88052,0.50338,0.69422,0.78186,0.000317,0.000317,0.000317
70,533.479,0.77214,0.84031,0.94389,0.99566,1,0.995,0.89514,0.4795,0.69432,0.78247,0.00029225,0.00029225,0.00029225
71,540.816,0.83551,1.03515,0.93607,0.99566,1,0.995,0.89514,0.4795,0.69432,0.78247,0.0002675,0.0002675,0.0002675
72,548.941,0.69859,1.04602,0.89558,0.99576,1,0.995,0.8885,0.48602,0.6828,0.78221,0.00024275,0.00024275,0.00024275
73,556.183,0.81576,1.08019,0.9661,0.99576,1,0.995,0.8885,0.48602,0.6828,0.78221,0.000218,0.000218,0.000218
74,563.473,0.70754,1.00269,0.89948,0.99587,1,0.995,0.88569,0.51576,0.69444,0.78436,0.00019325,0.00019325,0.00019325
75,572.395,0.74406,1.0898,0.93911,0.99587,1,0.995,0.88569,0.51576,0.69444,0.78436,0.0001685,0.0001685,0.0001685
76,580.498,0.73228,1.03605,0.89041,0.99584,1,0.995,0.88516,0.51519,0.71153,0.78409,0.00014375,0.00014375,0.00014375
77,588.283,0.69192,0.95797,0.93061,0.99584,1,0.995,0.88516,0.51519,0.71153,0.78409,0.000119,0.000119,0.000119
78,595.697,0.69129,0.95911,0.92304,0.99592,1,0.995,0.89342,0.50277,0.72656,0.78093,9.425e-05,9.425e-05,9.425e-05
79,603.094,0.60974,0.89486,0.84167,0.99592,1,0.995,0.89342,0.50277,0.72656,0.78093,6.95e-05,6.95e-05,6.95e-05
80,610.615,0.64142,0.92907,0.87138,0.99587,1,0.995,0.90683,0.49501,0.71871,0.77829,4.475e-05,4.475e-05,4.475e-05
